route_url,route_color,route_desc,route_short_name,route_id,route_text_color,route_long_name,route_type,agency_id
,006633,,101,101,ffffff,Route 101,3,drt
,006633,,103,103,ffffff,Route 103,3,drt
,006633,,110,110,ffffff,Route 110,3,drt
,006633,,112,112,ffffff,Route 112,3,drt
,006633,,120,120,ffffff,Route 120,3,drt
,006633,,211,211,ffffff,Route 211,3,drt
,006633,,216,216,ffffff,Route 216,3,drt
,006633,,222,222,ffffff,Route 222,3,drt
,006633,,224,224,ffffff,Route 224,3,drt
,006633,,291,291,ffffff,Route 291,3,drt
,006633,,301,301,ffffff,Route 301,3,drt
,006633,,302,302,ffffff,Route 302,3,drt
,006633,,319,319,ffffff,Route 319,3,drt
,006633,,392,392,ffffff,Route 392,3,drt
,006633,,403,403,ffffff,Route 403,3,drt
,006633,,405,405,ffffff,Route 405,3,drt
,006633,,407,407,ffffff,Route 407,3,drt
,006633,,409,409,ffffff,Route 409,3,drt
,006633,,410,410,ffffff,Route 410,3,drt
,006633,,411,411,ffffff,Route 411,3,drt
,006633,,421,421,ffffff,Route 421,3,drt
,006633,,423,423,ffffff,Route 423,3,drt
,006633,,502,502,ffffff,Route 502,3,drt
,006633,,507,507,ffffff,Route 507,3,drt
,cc6600,,900,900,000000,PULSE 900,3,drt
,cc6600,,901,901,000000,PULSE 901,3,drt
,006633,,902,902,ffffff,Route 902,3,drt
,006633,,905,905,ffffff,Route 905,3,drt
,cc6600,,915,915,000000,PULSE 915,3,drt
,cc6600,,916,916,000000,PULSE 916,3,drt
,006633,,917,917,ffffff,Route 917,3,drt
,006633,,920,920,ffffff,Route 920,3,drt
